Customer Gender,Is Senior,Partner,Dependents,Customer Tenure,Has Phone Service,Multiple Lines,Internet Plan,Online Security,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Customer Satisfaction,Churn Label
Male,N,Y,Y,55,Y,Y,Fiber optic,Y,N,N,Y,N,Month-to-month,Y,Electronic check,96.75,5238.9,3,Y
Female,Y,Y,Y,37,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,76.5,2868.15,3,Y
Female,N,Y,Y,10,Y,Y,Fiber optic,Y,N,N,Y,Y,Month-to-month,Y,Electronic check,100.25,1064.65,2,Y
Male,N,N,Y,3,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,74.4,229.55,4,Y
Female,Y,N,Y,27,Y,Y,Fiber optic,N,Y,N,N,N,Month-to-month,Y,Electronic check,78.05,2135.5,4,Y
Female,N,Y,N,25,N,No phone service,DSL,Y,Y,N,Y,Y,Month-to-month,Y,Credit card (automatic),58.6,1502.65,3,Y
Male,N,N,N,1,N,No phone service,DSL,N,N,N,N,Y,Month-to-month,Y,Electronic check,35.45,35.45,4,Y
Male,N,N,N,2,Y,N,DSL,N,N,N,N,N,Month-to-month,N,Electronic check,44.35,81.25,4,Y
Female,Y,Y,Y,1,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Mailed check,70.45,70.45,1,Y
Female,N,N,N,8,Y,Y,DSL,Y,N,Y,N,Y,Month-to-month,N,Electronic check,71.15,563.65,3,Y
Male,N,N,N,1,Y,N,DSL,N,N,N,N,N,Month-to-month,Y,Electronic check,45.65,45.65,5,Y
Male,N,N,Y,7,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,N,Mailed check,95.0,655.5,3,Y
Female,N,Y,Y,20,Y,Y,Fiber optic,Y,N,N,N,N,Month-to-month,N,Electronic check,82.4,1592.35,5,Y
Female,N,N,Y,4,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Bank transfer (automatic),70.9,273,1,Y
Male,Y,Y,N,58,N,No phone service,DSL,N,Y,N,N,Y,Month-to-month,Y,Electronic check,45.3,2651.2,2,Y
Female,N,Y,Y,2,Y,Y,Fiber optic,N,Y,Y,Y,Y,Month-to-month,Y,Electronic check,104.4,242.8,4,Y
Female,N,Y,N,53,Y,N,Fiber optic,N,Y,N,Y,Y,One year,Y,Bank transfer (automatic),94.85,5000.2,1,Y
Female,Y,N,Y,15,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Mailed check,74.45,1145.7,4,Y
Female,Y,N,Y,7,Y,N,Fiber optic,Y,N,N,N,N,Month-to-month,N,Bank transfer (automatic),76.45,503.6,2,Y
Female,N,N,N,1,N,No phone service,DSL,N,N,N,N,N,Month-to-month,N,Bank transfer (automatic),29.95,29.95,2,Y
Male,N,N,Y,8,Y,Y,Fiber optic,N,N,N,N,Y,Month-to-month,N,Bank transfer (automatic),84.5,662.65,1,Y
Female,N,N,Y,13,Y,N,Fiber optic,N,Y,N,N,N,Month-to-month,Y,Electronic check,79.25,1111.65,2,Y
Female,N,Y,N,1,N,No phone service,DSL,N,N,N,N,N,Month-to-month,Y,Electronic check,24.8,24.8,5,Y
Male,N,Y,Y,6,Y,N,Fiber optic,N,Y,N,N,Y,Month-to-month,Y,Electronic check,91.0,531,2,Y
Male,N,N,Y,1,Y,N,Fiber optic,N,N,N,N,Y,Month-to-month,N,Electronic check,79.9,79.9,4,Y
Female,N,N,Y,19,Y,N,Fiber optic,Y,Y,Y,Y,Y,Month-to-month,Y,Electronic check,106.6,1934.45,4,Y
Male,N,N,N,2,Y,N,DSL,N,N,N,N,N,Month-to-month,Y,Credit card (automatic),46.0,84.5,4,Y
Female,N,N,Y,4,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,70.15,268.35,4,Y
Male,N,Y,N,4,Y,N,DSL,N,N,Y,N,N,Month-to-month,N,Mailed check,50.05,179.35,5,Y
Female,N,Y,N,1,Y,N,DSL,N,N,N,Y,N,Month-to-month,N,Mailed check,55.2,55.2,3,Y
Male,N,N,Y,1,Y,N,Fiber optic,Y,N,N,N,Y,Month-to-month,Y,Mailed check,84.6,84.6,1,Y
Male,N,N,N,2,Y,Y,DSL,N,N,N,N,N,Month-to-month,Y,Mailed check,54.4,114.1,4,Y
Female,Y,N,Y,11,Y,N,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,95.0,1120.3,2,Y
Male,Y,N,N,15,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,74.4,1074.3,4,Y
Male,N,N,N,1,Y,N,DSL,Y,N,N,N,N,Month-to-month,Y,Mailed check,48.55,48.55,2,Y
Female,N,Y,N,2,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,N,Electronic check,70.4,147.15,2,Y
Male,Y,Y,N,1,N,No phone service,DSL,N,N,N,Y,N,Month-to-month,N,Electronic check,40.2,40.2,4,Y
Female,N,Y,N,2,Y,N,DSL,N,N,N,N,N,Month-to-month,Y,Credit card (automatic),44.6,80.55,5,Y
Male,Y,N,N,3,N,No phone service,DSL,N,Y,N,N,Y,Month-to-month,Y,Electronic check,41.15,132.2,2,Y
Male,Y,N,N,13,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,106.9,1364.3,2,Y
Male,N,N,N,59,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,N,Mailed check,19.35,1099.6,4,Y
Female,Y,N,N,16,Y,N,Fiber optic,N,N,Y,Y,Y,Month-to-month,Y,Electronic check,94.45,1511.2,2,Y
Male,N,N,N,1,N,No phone service,DSL,N,N,N,N,N,Month-to-month,N,Bank transfer (automatic),24.8,24.8,2,Y
Male,N,N,N,1,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,N,Mailed check,70.6,70.6,4,Y
Male,N,Y,N,5,Y,Y,Fiber optic,N,N,Y,N,N,Month-to-month,Y,Electronic check,85.4,401.1,4,Y
Female,N,Y,N,52,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,105.05,5624.85,1,Y
Male,N,Y,N,18,Y,N,Fiber optic,N,Y,N,Y,Y,Month-to-month,N,Mailed check,95.15,1779.95,5,Y
Male,N,Y,N,1,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,N,Electronic check,70.0,70,5,Y
Male,Y,N,N,8,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,74.5,606.55,2,Y
Male,N,N,N,10,Y,N,DSL,N,N,N,N,N,Month-to-month,Y,Credit card (automatic),44.85,435.4,5,Y
Male,Y,N,N,24,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,76.1,1712.7,2,Y
Female,N,N,N,1,Y,N,Fiber optic,Y,N,N,N,N,Month-to-month,Y,Mailed check,73.6,73.6,1,Y
Female,Y,N,N,4,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,95.45,396.1,4,Y
Male,Y,Y,N,32,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,74.9,2303.35,4,Y
Male,N,N,N,5,Y,N,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Electronic check,80.6,415.55,4,Y
Female,N,Y,N,38,Y,N,DSL,Y,N,Y,Y,Y,One year,N,Credit card (automatic),80.3,3058.65,5,Y
Male,Y,Y,N,24,Y,N,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,93.15,2231.05,1,Y
Female,Y,N,N,54,Y,Y,DSL,Y,N,Y,Y,Y,One year,N,Bank transfer (automatic),82.45,4350.1,5,Y
Female,Y,N,N,2,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,70.35,139.05,5,Y
Female,N,N,N,7,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,73.85,511.25,1,Y
Female,N,N,N,2,Y,Y,Fiber optic,N,Y,N,N,N,Month-to-month,N,Mailed check,80.6,155.8,1,Y
Male,N,Y,N,68,Y,Y,DSL,N,Y,Y,N,Y,One year,Y,Bank transfer (automatic),75.8,5293.95,1,Y
Female,N,N,N,43,Y,Y,Fiber optic,N,Y,N,Y,Y,Two year,Y,Electronic check,104.6,4759.85,1,Y
Male,N,Y,N,63,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,103.4,6603,4,Y
Female,N,N,N,2,Y,N,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,90.4,168.2,3,Y
Male,N,Y,N,4,Y,Y,Fiber optic,N,Y,N,N,N,Month-to-month,Y,Bank transfer (automatic),84.8,371.9,3,Y
Female,Y,N,N,21,N,No phone service,DSL,Y,N,N,Y,N,Month-to-month,Y,Electronic check,41.9,840.1,1,Y
Female,N,N,N,10,Y,N,Fiber optic,N,N,N,N,Y,Month-to-month,Y,Bank transfer (automatic),80.25,846,3,Y
Male,Y,Y,N,27,N,No phone service,DSL,Y,N,N,N,N,Month-to-month,N,Credit card (automatic),30.75,805.1,3,Y
Male,N,N,N,5,Y,N,Fiber optic,N,Y,N,Y,Y,Month-to-month,N,Bank transfer (automatic),96.5,492.55,1,Y
Male,N,N,N,2,Y,Y,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Electronic check,85.65,181.5,3,Y
Female,N,Y,N,25,Y,Y,Fiber optic,N,Y,Y,Y,Y,Month-to-month,Y,Bank transfer (automatic),104.95,2566.5,5,Y
Male,N,N,N,1,Y,N,DSL,N,N,N,N,N,Month-to-month,N,Mailed check,50.65,50.65,2,Y
Male,N,N,N,1,Y,Y,Fiber optic,N,N,N,N,Y,Month-to-month,Y,Credit card (automatic),90.85,90.85,2,Y
Male,Y,Y,N,11,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Mailed check,19.95,214.75,1,Y
Female,Y,Y,N,55,Y,Y,Fiber optic,N,Y,N,N,N,Month-to-month,Y,Electronic check,85.45,4874.7,4,Y
Female,N,N,N,34,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Credit card (automatic),73.95,2524.45,1,Y
Male,N,Y,N,69,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Credit card (automatic),99.45,7007.6,4,Y
Female,N,N,N,1,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Y,Mailed check,19.9,19.9,2,Y
Male,N,N,N,1,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Y,Mailed check,19.6,19.6,1,Y
Male,Y,N,N,3,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,81.35,233.7,5,Y
Female,N,Y,N,22,Y,N,Fiber optic,N,N,N,N,Y,Month-to-month,N,Electronic check,83.3,1845.9,3,Y
Female,Y,N,N,1,Y,N,Fiber optic,N,Y,N,N,N,Month-to-month,Y,Bank transfer (automatic),75.3,75.3,4,Y
Female,N,Y,N,61,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Y,Mailed check,19.4,1182.55,3,Y
Male,N,N,N,12,Y,N,DSL,N,N,N,N,N,Month-to-month,Y,Bank transfer (automatic),45.4,518.9,3,Y
Female,N,N,N,60,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,105.9,6396.45,1,Y
Female,N,N,N,1,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,N,Mailed check,69.55,69.55,3,Y
Female,N,Y,N,28,Y,N,Fiber optic,N,N,N,N,Y,Month-to-month,Y,Electronic check,81.05,2227.1,5,Y
Male,N,Y,N,4,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,N,Electronic check,101.15,385.9,3,Y
Male,N,N,N,7,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,99.8,673.25,1,Y
Female,N,Y,N,13,Y,N,DSL,N,N,N,N,Y,Month-to-month,N,Electronic check,55.95,734.35,5,Y
Male,N,N,N,1,Y,N,DSL,N,N,N,N,Y,Month-to-month,Y,Electronic check,55.0,55,2,Y
Female,N,Y,N,1,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,74.7,74.7,3,Y
Male,N,N,N,24,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,80.25,1861.5,1,Y
Male,N,N,N,5,Y,N,Fiber optic,N,N,Y,Y,Y,Month-to-month,Y,Electronic check,96.1,453.4,2,Y
Female,N,N,N,15,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,N,Bank transfer (automatic),69.0,994.8,2,Y
Female,N,Y,N,48,N,No phone service,DSL,Y,Y,N,N,Y,Month-to-month,Y,Bank transfer (automatic),45.3,2145,4,Y
Female,N,Y,N,8,Y,N,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Electronic check,83.55,680.05,5,Y
Male,N,N,N,1,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,74.35,74.35,3,Y
Female,N,Y,N,2,Y,N,Fiber optic,Y,N,N,N,N,Month-to-month,Y,Electronic check,74.4,139.4,1,Y
Male,N,N,N,22,N,No phone service,DSL,N,Y,N,N,Y,One year,Y,Bank transfer (automatic),43.75,903.6,4,Y
Female,Y,N,N,5,N,No phone service,DSL,N,N,N,N,N,Month-to-month,N,Electronic check,28.45,131.05,5,Y
Female,N,N,N,12,Y,Y,Fiber optic,Y,Y,N,N,Y,Month-to-month,Y,Bank transfer (automatic),99.7,1238.45,4,Y
Female,Y,N,N,20,Y,Y,Fiber optic,N,Y,N,N,Y,Month-to-month,Y,Electronic check,94.1,1782.4,5,Y
Male,N,Y,N,2,Y,N,Fiber optic,N,N,Y,Y,Y,Month-to-month,Y,Electronic check,94.2,167.5,5,Y
Female,N,Y,N,6,Y,Y,Fiber optic,N,N,Y,N,N,Month-to-month,Y,Electronic check,80.5,502.85,3,Y
Female,Y,Y,N,5,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,74.35,334.8,5,Y
Male,N,N,N,40,Y,Y,Fiber optic,N,Y,Y,Y,Y,Month-to-month,N,Bank transfer (automatic),104.8,4131.95,4,Y
Female,Y,Y,N,27,Y,N,Fiber optic,Y,N,N,N,N,Month-to-month,Y,Bank transfer (automatic),75.2,1929.35,5,Y
Female,N,N,N,23,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,N,Bank transfer (automatic),75.6,1758.6,3,Y
Male,N,Y,N,34,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,100.05,3480,3,Y
Female,N,N,N,1,Y,Y,Fiber optic,N,N,N,N,Y,Month-to-month,Y,Electronic check,85.0,85,4,Y
Male,N,N,N,10,Y,Y,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Bank transfer (automatic),86.05,834.1,2,Y
Male,N,N,N,13,N,No phone service,DSL,Y,N,Y,Y,N,Month-to-month,Y,Credit card (automatic),45.55,597,2,Y
Male,N,Y,N,39,Y,N,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Mailed check,86.3,3266,5,Y
Male,N,N,N,32,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Bank transfer (automatic),80.35,2596.15,1,Y
Female,N,N,N,35,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,100.25,3527.6,5,Y
Male,N,Y,N,56,Y,Y,Fiber optic,N,N,N,Y,Y,One year,N,Credit card (automatic),100.3,5614.45,4,Y
Female,N,Y,N,12,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Mailed check,19.0,233.55,4,Y
Female,N,N,N,1,Y,N,Fiber optic,Y,N,N,N,N,Month-to-month,N,Mailed check,75.3,75.3,4,Y
Female,Y,N,N,4,Y,Y,Fiber optic,N,Y,N,Y,N,Month-to-month,Y,Electronic check,89.2,346.2,4,Y
Female,Y,N,N,1,Y,Y,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Electronic check,85.7,85.7,4,Y
Female,N,N,N,12,Y,Y,DSL,Y,Y,Y,N,N,Month-to-month,Y,Mailed check,61.65,713.75,3,Y
Female,Y,Y,N,65,Y,Y,Fiber optic,Y,Y,N,Y,Y,Month-to-month,N,Bank transfer (automatic),105.25,6786.4,2,Y
Male,N,Y,N,9,N,No phone service,DSL,N,N,N,N,N,Month-to-month,Y,Electronic check,29.95,248.95,4,Y
Female,N,Y,N,9,Y,N,DSL,Y,Y,Y,N,N,Month-to-month,N,Mailed check,65.0,663.05,1,Y
Female,N,N,N,7,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Bank transfer (automatic),20.0,137.6,1,Y
Male,Y,Y,N,49,Y,Y,Fiber optic,N,N,N,N,Y,Month-to-month,N,Credit card (automatic),90.05,4547.25,1,Y
Male,Y,Y,N,43,Y,Y,Fiber optic,N,Y,Y,Y,Y,Month-to-month,Y,Bank transfer (automatic),110.75,4687.9,1,Y
Female,N,Y,N,65,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,105.5,6985.65,3,Y
Male,Y,Y,N,56,Y,Y,Fiber optic,Y,Y,N,Y,Y,One year,Y,Bank transfer (automatic),104.55,5794.65,1,Y
Male,N,Y,N,10,Y,Y,Fiber optic,N,N,N,N,Y,Month-to-month,Y,Electronic check,85.25,855.3,4,Y
Female,N,Y,N,43,Y,N,DSL,N,N,N,Y,N,Month-to-month,N,Electronic check,56.15,2499.3,5,Y
Male,N,N,N,1,Y,N,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,89.55,89.55,1,Y
Male,Y,Y,N,20,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,94.55,1899.65,3,Y
Male,N,N,N,1,Y,N,DSL,N,N,N,N,N,Month-to-month,Y,Mailed check,45.7,45.7,3,Y
Female,Y,N,N,2,Y,Y,Fiber optic,N,N,N,N,Y,Month-to-month,N,Electronic check,89.5,161.5,1,Y
Female,N,N,N,3,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Bank transfer (automatic),69.55,222.3,5,Y
Female,N,N,N,1,Y,N,Fiber optic,N,Y,N,N,N,Month-to-month,Y,Mailed check,74.6,74.6,1,Y
Female,Y,N,N,8,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Electronic check,19.65,164.3,3,Y
Male,N,Y,N,2,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,N,Mailed check,19.85,35.9,2,Y
Female,N,N,N,4,N,No phone service,DSL,N,N,N,N,N,Month-to-month,Y,Mailed check,24.25,96.05,4,Y
Female,N,N,N,2,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,N,Electronic check,69.65,145.15,3,Y
Female,N,N,N,4,Y,N,DSL,N,N,N,N,N,Month-to-month,N,Mailed check,45.65,191.05,1,Y
Female,N,N,N,1,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Mailed check,75.05,75.05,4,Y
Male,Y,N,N,52,N,No phone service,DSL,N,N,N,Y,Y,Month-to-month,Y,Electronic check,49.15,2550.9,1,Y
Female,N,N,N,2,N,No phone service,DSL,N,N,N,N,Y,Month-to-month,Y,Electronic check,34.7,62.25,1,Y
Male,N,Y,N,1,Y,N,Fiber optic,N,N,N,N,Y,Month-to-month,N,Electronic check,80.0,80,2,Y
Male,Y,N,N,2,Y,N,DSL,Y,N,N,N,N,Month-to-month,Y,Electronic check,49.25,91.1,4,Y
Female,N,N,N,3,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Credit card (automatic),75.1,270.7,4,Y
Male,N,Y,N,3,Y,N,DSL,N,Y,N,N,N,Month-to-month,Y,Electronic check,50.15,168.15,2,Y
Female,N,N,N,25,Y,N,Fiber optic,Y,N,N,N,N,Month-to-month,Y,Bank transfer (automatic),79.85,2015.35,3,Y
Male,N,N,N,1,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Mailed check,19.55,19.55,1,Y
Female,N,Y,N,4,Y,Y,Fiber optic,N,N,N,N,Y,Month-to-month,Y,Electronic check,85.95,381.3,5,Y
Male,N,N,N,3,Y,N,DSL,N,N,N,N,N,Month-to-month,Y,Electronic check,45.35,141.5,1,Y
Male,Y,Y,N,33,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,94.5,3105.55,1,Y
Female,Y,N,N,30,Y,Y,Fiber optic,Y,Y,N,N,N,Month-to-month,N,Credit card (automatic),91.7,2758.15,3,Y
Female,N,N,N,45,Y,Y,Fiber optic,N,Y,Y,N,N,Month-to-month,Y,Electronic check,87.25,3941.7,1,Y
Male,N,N,N,10,Y,Y,Fiber optic,Y,N,N,Y,Y,Month-to-month,N,Electronic check,98.55,1008.55,2,Y
Male,Y,N,N,20,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,98.55,1842.8,2,Y
Female,N,N,N,15,Y,N,Fiber optic,N,N,N,N,Y,Month-to-month,Y,Bank transfer (automatic),85.9,1269.55,4,Y
Female,N,N,N,22,Y,N,Fiber optic,N,N,N,Y,Y,Month-to-month,N,Electronic check,89.25,1907.85,5,Y
Male,N,Y,N,3,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,70.3,208.85,1,Y
Male,N,N,N,15,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,93.35,1444.65,1,Y
Female,N,N,N,1,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Mailed check,19.9,19.9,3,Y
Female,N,Y,N,5,Y,N,Fiber optic,Y,Y,N,N,Y,Month-to-month,Y,Mailed check,88.9,454.15,2,Y
Male,N,Y,N,33,Y,N,Fiber optic,N,Y,N,Y,Y,One year,Y,Electronic check,95.8,3036.75,5,Y
Male,N,N,N,2,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,82.0,184.65,4,Y
Male,N,N,N,2,Y,N,DSL,N,N,N,N,N,Month-to-month,N,Electronic check,45.35,89.5,2,Y
Female,N,N,N,1,Y,N,DSL,N,N,Y,N,N,Month-to-month,Y,Electronic check,52.2,52.2,4,Y
Female,Y,N,N,46,Y,Y,Fiber optic,Y,Y,N,Y,Y,One year,Y,Electronic check,110.0,4874.8,3,Y
Male,N,N,N,62,Y,Y,Fiber optic,N,Y,N,Y,Y,One year,Y,Electronic check,96.75,6125.4,3,Y
Female,N,N,N,10,Y,Y,Fiber optic,N,N,Y,Y,Y,Month-to-month,Y,Electronic check,98.5,1058.25,1,Y
Male,N,N,N,6,Y,N,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Electronic check,85.35,489.45,5,Y
Male,N,Y,N,40,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,101.3,4113.1,4,Y
Male,N,N,N,1,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,69.55,69.55,2,Y
Male,N,N,N,58,Y,Y,Fiber optic,N,Y,N,Y,Y,One year,Y,Bank transfer (automatic),103.25,6017.65,3,Y
Male,N,N,N,70,Y,Y,Fiber optic,Y,N,Y,Y,Y,Two year,Y,Credit card (automatic),104.0,7250.15,1,Y
Female,N,N,N,2,Y,N,Fiber optic,N,Y,N,N,Y,Month-to-month,Y,Mailed check,86.2,178.7,1,Y
Male,N,Y,N,21,Y,Y,Fiber optic,N,Y,Y,Y,Y,Month-to-month,Y,Electronic check,111.2,2317.1,4,Y
Female,N,Y,N,16,Y,N,Fiber optic,N,Y,N,Y,N,Month-to-month,Y,Credit card (automatic),89.45,1430.25,3,Y
Male,Y,Y,N,7,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Bank transfer (automatic),95.6,644.35,5,Y
Male,N,Y,N,60,Y,N,Fiber optic,N,Y,N,Y,N,One year,N,Electronic check,90.95,5453.4,3,Y
Female,N,Y,N,50,Y,Y,Fiber optic,Y,N,Y,Y,Y,One year,N,Electronic check,108.55,5610.7,4,Y
