User ID,Content Category,Interaction Type,Time of Interaction,Device Used
U0168,Food,Comment,Afternoon,Tablet
U0341,Fitness,Like,Afternoon,Tablet
U0208,Technology,Share,Evening,Desktop
U0403,Education,Share,Evening,Tablet
U0227,Fitness,Follow,Evening,Tablet
U0492,Fitness,Like,Evening,Tablet
U0340,Education,Share,Evening,Desktop
U0488,Food,Comment,Morning,Mobile
U0013,Fitness,Comment,Morning,Desktop
U0394,Travel,Comment,Morning,Desktop
U0197,Travel,Comment,Afternoon,Mobile
U0003,Travel,Follow,Morning,Mobile
U0026,Fitness,Follow,Evening,Mobile
U0238,Education,Follow,Evening,Tablet
U0314,Education,Follow,Evening,Desktop
U0460,Travel,Share,Morning,Desktop
U0431,Food,Follow,Evening,Tablet
U0141,Technology,Share,Afternoon,Tablet
U0172,Education,Comment,Afternoon,Mobile
U0197,Fitness,Comment,Evening,Tablet
U0209,Education,Follow,Afternoon,Desktop
U0106,Travel,Like,Afternoon,Tablet
U0439,Travel,Share,Evening,Desktop
U0386,Travel,Share,Afternoon,Tablet
U0280,Fitness,Follow,Evening,Desktop
U0224,Technology,Share,Afternoon,Desktop
U0409,Fitness,Like,Afternoon,Desktop
U0465,Education,Like,Afternoon,Tablet
U0220,Travel,Like,Morning,Mobile
U0168,Travel,Share,Morning,Desktop
U0195,Travel,Like,Afternoon,Desktop
U0384,Technology,Comment,Evening,Desktop
U0400,Technology,Comment,Evening,Mobile
U0430,Education,Comment,Morning,Mobile
U0343,Education,Follow,Morning,Mobile
U0393,Fitness,Like,Afternoon,Tablet
U0383,Technology,Like,Evening,Mobile
U0297,Food,Follow,Morning,Tablet
U0367,Technology,Comment,Morning,Tablet
U0396,Education,Like,Afternoon,Mobile
U0220,Food,Like,Evening,Mobile
U0175,Travel,Like,Morning,Desktop
U0186,Travel,Comment,Evening,Tablet
U0091,Education,Share,Evening,Tablet
U0471,Travel,Share,Evening,Desktop
U0166,Technology,Follow,Morning,Desktop
U0238,Education,Follow,Evening,Tablet
U0254,Fitness,Comment,Afternoon,Desktop
U0133,Food,Share,Afternoon,Tablet
U0265,Technology,Like,Morning,Mobile
U0251,Fitness,Follow,Evening,Tablet
U0252,Technology,Share,Afternoon,Mobile
U0208,Fitness,Follow,Evening,Desktop
U0189,Education,Share,Afternoon,Tablet
U0382,Food,Follow,Evening,Desktop
U0129,Technology,Comment,Morning,Tablet
U0381,Fitness,Comment,Evening,Mobile
U0142,Education,Comment,Evening,Tablet
U0152,Food,Like,Morning,Mobile
U0363,Fitness,Follow,Evening,Desktop
U0028,Food,Comment,Evening,Tablet
U0386,Technology,Share,Afternoon,Mobile
U0241,Travel,Share,Afternoon,Desktop
U0482,Technology,Share,Afternoon,Mobile
U0038,Technology,Like,Evening,Mobile
U0289,Technology,Share,Afternoon,Mobile
U0392,Education,Comment,Afternoon,Tablet
U0195,Travel,Follow,Afternoon,Desktop
U0318,Education,Comment,Morning,Tablet
U0321,Food,Like,Morning,Tablet
U0089,Technology,Like,Evening,Mobile
U0231,Education,Share,Evening,Desktop
U0119,Food,Follow,Afternoon,Tablet
U0120,Education,Comment,Afternoon,Tablet
U0279,Fitness,Like,Morning,Desktop
U0031,Food,Share,Morning,Tablet
U0240,Food,Follow,Evening,Tablet
U0225,Education,Follow,Morning,Mobile
U0310,Technology,Share,Afternoon,Mobile
U0346,Education,Share,Evening,Mobile
U0391,Travel,Like,Morning,Tablet
U0470,Fitness,Like,Afternoon,Tablet
U0417,Technology,Share,Afternoon,Desktop
U0165,Technology,Like,Evening,Mobile
U0356,Food,Like,Afternoon,Tablet
U0233,Food,Share,Morning,Desktop
U0396,Education,Follow,Afternoon,Mobile
U0097,Food,Follow,Evening,Tablet
U0390,Fitness,Comment,Morning,Desktop
U0475,Travel,Share,Afternoon,Tablet
U0015,Education,Comment,Evening,Mobile
U0008,Travel,Like,Evening,Mobile
U0237,Fitness,Share,Morning,Desktop
U0261,Food,Comment,Evening,Desktop
U0234,Fitness,Follow,Evening,Desktop
U0307,Fitness,Share,Evening,Mobile
U0438,Food,Share,Afternoon,Tablet
U0372,Education,Follow,Afternoon,Tablet
U0276,Food,Follow,Afternoon,Desktop
U0165,Fitness,Follow,Morning,Tablet
U0398,Technology,Follow,Afternoon,Desktop
U0416,Travel,Share,Afternoon,Tablet
U0334,Travel,Comment,Morning,Mobile
U0303,Technology,Like,Afternoon,Desktop
U0234,Fitness,Comment,Morning,Desktop
U0039,Food,Follow,Afternoon,Desktop
U0437,Education,Follow,Afternoon,Desktop
U0447,Technology,Like,Evening,Tablet
U0351,Fitness,Like,Afternoon,Tablet
U0051,Technology,Comment,Evening,Desktop
U0463,Technology,Like,Morning,Desktop
U0192,Fitness,Follow,Afternoon,Mobile
U0406,Fitness,Like,Morning,Mobile
U0196,Fitness,Comment,Evening,Desktop
U0119,Food,Share,Afternoon,Desktop
U0461,Food,Comment,Afternoon,Tablet
U0484,Education,Follow,Afternoon,Desktop
U0218,Food,Share,Evening,Desktop
U0197,Technology,Share,Afternoon,Mobile
U0184,Food,Share,Evening,Tablet
U0425,Travel,Like,Evening,Desktop
U0352,Technology,Share,Evening,Tablet
U0398,Education,Share,Morning,Desktop
U0098,Food,Comment,Evening,Tablet
U0463,Technology,Follow,Evening,Desktop
U0187,Fitness,Share,Evening,Mobile
U0213,Fitness,Share,Morning,Mobile
U0468,Fitness,Share,Afternoon,Desktop
U0383,Technology,Like,Afternoon,Desktop
U0495,Travel,Like,Morning,Tablet
U0405,Technology,Like,Afternoon,Desktop
U0345,Food,Share,Evening,Tablet
U0056,Fitness,Follow,Evening,Desktop
U0453,Food,Comment,Evening,Tablet
U0326,Food,Follow,Afternoon,Tablet
U0024,Food,Like,Morning,Desktop
U0455,Fitness,Follow,Evening,Desktop
U0344,Education,Share,Evening,Desktop
U0373,Travel,Like,Morning,Tablet
U0251,Travel,Like,Evening,Desktop
U0112,Travel,Share,Afternoon,Mobile
U0352,Education,Share,Afternoon,Tablet
U0142,Technology,Like,Morning,Desktop
U0329,Education,Like,Evening,Mobile
U0125,Education,Comment,Morning,Mobile
U0301,Fitness,Comment,Morning,Desktop
U0404,Technology,Share,Evening,Desktop
U0409,Technology,Like,Morning,Tablet
U0184,Education,Share,Morning,Desktop
U0136,Fitness,Follow,Morning,Tablet
U0382,Travel,Share,Morning,Desktop
U0056,Education,Like,Afternoon,Mobile
U0466,Education,Share,Evening,Desktop
U0494,Technology,Follow,Morning,Desktop
U0056,Travel,Like,Afternoon,Mobile
U0076,Fitness,Comment,Morning,Desktop
U0300,Food,Share,Evening,Desktop
U0310,Technology,Comment,Afternoon,Tablet
U0221,Fitness,Follow,Afternoon,Desktop
U0213,Technology,Follow,Evening,Desktop
U0131,Fitness,Like,Afternoon,Tablet
U0047,Technology,Like,Morning,Desktop
U0191,Education,Share,Morning,Mobile
U0211,Travel,Share,Afternoon,Tablet
U0148,Food,Like,Evening,Desktop
U0109,Travel,Like,Morning,Mobile
U0285,Technology,Like,Afternoon,Desktop
U0312,Food,Like,Evening,Mobile
U0360,Food,Like,Afternoon,Desktop
U0074,Travel,Comment,Evening,Mobile
U0498,Technology,Comment,Morning,Tablet
U0233,Fitness,Share,Afternoon,Desktop
U0398,Education,Like,Evening,Mobile
U0387,Technology,Like,Evening,Tablet
U0339,Travel,Share,Afternoon,Tablet
U0140,Education,Share,Morning,Mobile
U0146,Education,Share,Evening,Desktop
U0158,Fitness,Like,Morning,Desktop
U0004,Food,Like,Morning,Mobile
U0392,Food,Like,Afternoon,Desktop
U0383,Fitness,Follow,Afternoon,Mobile
U0118,Education,Share,Evening,Tablet
U0442,Technology,Like,Evening,Desktop
U0040,Education,Follow,Afternoon,Desktop
U0364,Travel,Like,Evening,Desktop
U0495,Fitness,Like,Afternoon,Tablet
U0354,Technology,Like,Afternoon,Desktop
U0302,Education,Share,Afternoon,Mobile
U0114,Fitness,Like,Afternoon,Mobile
U0100,Food,Comment,Afternoon,Tablet
U0075,Fitness,Comment,Afternoon,Mobile
U0336,Fitness,Follow,Morning,Tablet
U0289,Travel,Share,Evening,Tablet
U0443,Food,Like,Evening,Mobile
U0241,Food,Like,Afternoon,Desktop
U0038,Travel,Like,Afternoon,Desktop
U0426,Technology,Like,Afternoon,Tablet
U0260,Travel,Share,Afternoon,Tablet
U0406,Technology,Comment,Evening,Desktop
U0244,Fitness,Follow,Evening,Mobile
U0461,Technology,Comment,Afternoon,Tablet
U0363,Travel,Share,Afternoon,Tablet
U0082,Food,Follow,Afternoon,Desktop
U0174,Education,Share,Evening,Mobile
U0049,Travel,Share,Evening,Desktop
U0337,Fitness,Follow,Evening,Desktop
U0340,Food,Follow,Morning,Desktop
U0363,Food,Follow,Morning,Tablet
U0169,Education,Follow,Morning,Mobile
U0010,Food,Share,Afternoon,Mobile
U0486,Fitness,Comment,Afternoon,Mobile
U0152,Education,Like,Morning,Tablet
U0449,Fitness,Follow,Evening,Tablet
U0093,Education,Follow,Evening,Mobile
U0187,Fitness,Follow,Evening,Desktop
U0386,Travel,Comment,Evening,Mobile
U0415,Fitness,Follow,Afternoon,Desktop
U0145,Education,Comment,Afternoon,Tablet
U0411,Fitness,Follow,Evening,Desktop
U0247,Education,Like,Afternoon,Mobile
U0391,Food,Like,Morning,Desktop
U0485,Travel,Like,Morning,Desktop
U0203,Food,Like,Evening,Mobile
U0042,Fitness,Share,Afternoon,Mobile
U0406,Fitness,Follow,Morning,Mobile
U0357,Travel,Like,Morning,Desktop
U0132,Fitness,Follow,Morning,Tablet
U0148,Food,Like,Morning,Mobile
U0215,Education,Share,Evening,Desktop
U0429,Education,Like,Afternoon,Tablet
U0295,Fitness,Comment,Morning,Desktop
U0315,Fitness,Like,Afternoon,Tablet
U0341,Technology,Share,Evening,Tablet
U0270,Education,Like,Evening,Tablet
U0241,Travel,Share,Morning,Desktop
U0183,Food,Like,Morning,Mobile
U0322,Education,Share,Morning,Tablet
U0181,Food,Follow,Evening,Tablet
U0357,Fitness,Like,Afternoon,Mobile
U0484,Technology,Comment,Afternoon,Desktop
U0103,Food,Follow,Morning,Desktop
U0130,Fitness,Comment,Morning,Desktop
U0400,Food,Like,Morning,Desktop
U0224,Travel,Follow,Afternoon,Desktop
U0355,Food,Follow,Afternoon,Tablet
U0041,Education,Share,Afternoon,Mobile
U0041,Food,Follow,Afternoon,Desktop
U0219,Travel,Follow,Morning,Desktop
U0446,Education,Follow,Afternoon,Desktop
U0406,Technology,Follow,Morning,Tablet
U0411,Fitness,Follow,Evening,Mobile
U0018,Technology,Like,Morning,Mobile
U0188,Travel,Share,Afternoon,Tablet
U0079,Travel,Share,Evening,Desktop
U0040,Fitness,Share,Evening,Tablet
U0333,Fitness,Like,Afternoon,Mobile
U0256,Travel,Comment,Evening,Tablet
U0397,Travel,Share,Afternoon,Mobile
U0252,Technology,Follow,Morning,Mobile
U0089,Travel,Share,Evening,Mobile
U0364,Education,Comment,Morning,Tablet
U0365,Fitness,Follow,Evening,Desktop
U0063,Fitness,Follow,Morning,Mobile
U0284,Food,Comment,Evening,Desktop
U0045,Food,Follow,Morning,Desktop
U0394,Education,Like,Afternoon,Mobile
U0231,Education,Follow,Afternoon,Desktop
U0425,Education,Comment,Evening,Mobile
U0467,Technology,Comment,Morning,Tablet
U0083,Fitness,Share,Afternoon,Desktop
U0101,Education,Share,Evening,Desktop
U0156,Education,Comment,Evening,Mobile
U0298,Fitness,Like,Morning,Tablet
U0423,Technology,Share,Morning,Mobile
U0334,Education,Share,Morning,Desktop
U0016,Education,Follow,Afternoon,Desktop
U0155,Fitness,Like,Afternoon,Tablet
U0233,Technology,Like,Morning,Mobile
U0248,Fitness,Comment,Afternoon,Desktop
U0368,Food,Comment,Afternoon,Desktop
U0264,Technology,Comment,Evening,Desktop
U0137,Fitness,Like,Afternoon,Mobile
U0485,Education,Follow,Afternoon,Desktop
U0444,Food,Share,Morning,Tablet
U0082,Education,Follow,Afternoon,Desktop
U0158,Technology,Follow,Afternoon,Mobile
U0495,Fitness,Share,Morning,Tablet
U0145,Education,Follow,Afternoon,Tablet
U0005,Travel,Share,Morning,Mobile
U0392,Food,Like,Afternoon,Mobile
U0292,Fitness,Follow,Evening,Desktop
U0038,Education,Follow,Afternoon,Desktop
U0144,Education,Follow,Evening,Mobile
U0192,Education,Follow,Afternoon,Desktop
U0102,Education,Share,Evening,Desktop
U0024,Fitness,Follow,Morning,Tablet
U0077,Education,Share,Evening,Mobile
U0084,Education,Share,Afternoon,Tablet
U0260,Education,Share,Evening,Desktop
U0154,Technology,Share,Afternoon,Desktop
U0214,Food,Like,Evening,Tablet
U0136,Education,Comment,Evening,Tablet
U0299,Fitness,Like,Afternoon,Tablet
U0318,Fitness,Like,Afternoon,Tablet
U0294,Technology,Like,Evening,Mobile
U0161,Fitness,Comment,Afternoon,Desktop
U0397,Travel,Comment,Evening,Tablet
U0362,Education,Follow,Morning,Mobile
U0270,Food,Like,Afternoon,Mobile
U0273,Education,Follow,Afternoon,Desktop
U0445,Food,Follow,Evening,Tablet
U0127,Education,Follow,Afternoon,Desktop
U0499,Food,Comment,Afternoon,Tablet
U0251,Travel,Share,Afternoon,Desktop
U0294,Education,Follow,Evening,Desktop
U0420,Fitness,Like,Afternoon,Desktop
U0366,Food,Share,Morning,Desktop
U0110,Education,Share,Morning,Desktop
U0071,Education,Comment,Morning,Tablet
U0343,Fitness,Comment,Evening,Tablet
U0212,Travel,Comment,Afternoon,Mobile
U0282,Travel,Follow,Morning,Tablet
U0245,Fitness,Follow,Evening,Desktop
U0331,Technology,Comment,Morning,Tablet
U0371,Fitness,Comment,Morning,Desktop
U0479,Travel,Share,Morning,Desktop
U0449,Technology,Share,Morning,Desktop
U0146,Education,Comment,Afternoon,Tablet
U0436,Travel,Share,Evening,Desktop
U0084,Travel,Comment,Evening,Tablet
U0096,Food,Comment,Morning,Desktop
U0439,Travel,Share,Evening,Desktop
U0343,Fitness,Follow,Morning,Mobile
U0128,Food,Comment,Morning,Desktop
U0137,Food,Like,Afternoon,Tablet
U0185,Fitness,Like,Evening,Mobile
U0082,Education,Share,Afternoon,Tablet
U0328,Food,Comment,Afternoon,Tablet
U0069,Fitness,Share,Afternoon,Desktop
U0282,Education,Comment,Afternoon,Tablet
U0349,Technology,Follow,Evening,Tablet
U0186,Education,Comment,Morning,Mobile
U0294,Fitness,Follow,Evening,Mobile
U0060,Fitness,Follow,Evening,Tablet
U0262,Technology,Comment,Afternoon,Desktop
U0234,Technology,Follow,Evening,Tablet
U0158,Technology,Comment,Evening,Desktop
U0297,Technology,Share,Morning,Desktop
U0278,Technology,Like,Morning,Desktop
U0093,Travel,Follow,Morning,Desktop
U0470,Travel,Comment,Afternoon,Mobile
U0179,Fitness,Follow,Morning,Tablet
U0373,Technology,Follow,Morning,Mobile
U0345,Education,Share,Evening,Desktop
U0422,Fitness,Comment,Morning,Desktop
U0142,Technology,Follow,Morning,Mobile
U0315,Fitness,Like,Morning,Mobile
U0018,Education,Like,Afternoon,Tablet
U0023,Travel,Comment,Afternoon,Mobile
U0398,Fitness,Share,Morning,Tablet
U0470,Education,Share,Evening,Desktop
U0396,Food,Like,Evening,Mobile
U0074,Education,Follow,Evening,Mobile
U0032,Education,Comment,Evening,Tablet
U0219,Travel,Follow,Evening,Mobile
U0403,Food,Follow,Evening,Tablet
U0154,Fitness,Like,Afternoon,Tablet
U0435,Food,Like,Morning,Tablet
U0288,Travel,Share,Afternoon,Tablet
U0199,Food,Like,Morning,Mobile
U0041,Food,Like,Afternoon,Mobile
U0425,Technology,Follow,Morning,Desktop
U0309,Technology,Comment,Morning,Mobile
U0246,Food,Like,Morning,Desktop
U0098,Technology,Comment,Evening,Tablet
U0204,Education,Share,Morning,Desktop
U0195,Education,Share,Afternoon,Tablet
U0185,Travel,Follow,Evening,Desktop
U0390,Fitness,Share,Afternoon,Desktop
U0289,Fitness,Share,Morning,Mobile
U0300,Travel,Comment,Evening,Desktop
U0118,Education,Follow,Afternoon,Mobile
U0484,Food,Follow,Evening,Desktop
U0236,Food,Like,Morning,Mobile
U0280,Fitness,Like,Afternoon,Tablet
U0269,Technology,Like,Morning,Tablet
U0212,Fitness,Comment,Morning,Mobile
U0259,Food,Like,Afternoon,Mobile
U0342,Travel,Comment,Evening,Tablet
U0004,Education,Share,Evening,Desktop
U0272,Food,Share,Evening,Tablet
U0417,Travel,Comment,Evening,Mobile
U0124,Education,Share,Morning,Tablet
U0408,Technology,Follow,Afternoon,Desktop
U0125,Fitness,Follow,Evening,Desktop
U0435,Technology,Like,Morning,Mobile
U0194,Travel,Like,Evening,Mobile
U0043,Travel,Share,Afternoon,Tablet
U0290,Education,Comment,Morning,Mobile
U0445,Education,Share,Evening,Desktop
U0474,Food,Like,Morning,Tablet
U0436,Technology,Share,Afternoon,Mobile
U0386,Travel,Share,Evening,Mobile
U0124,Travel,Share,Evening,Tablet
U0197,Fitness,Like,Evening,Tablet
U0499,Technology,Share,Afternoon,Mobile
U0430,Food,Share,Morning,Tablet
U0016,Food,Follow,Evening,Desktop
U0284,Travel,Follow,Afternoon,Mobile
U0317,Fitness,Like,Afternoon,Tablet
U0138,Travel,Like,Morning,Tablet
U0079,Travel,Share,Evening,Desktop
U0003,Travel,Share,Afternoon,Desktop
U0045,Travel,Follow,Morning,Desktop
U0046,Education,Like,Afternoon,Mobile
U0150,Travel,Comment,Afternoon,Mobile
U0087,Travel,Comment,Evening,Mobile
U0138,Fitness,Comment,Afternoon,Mobile
U0216,Travel,Share,Afternoon,Mobile
U0127,Travel,Comment,Evening,Tablet
U0235,Fitness,Comment,Morning,Desktop
U0203,Education,Share,Afternoon,Desktop
U0226,Travel,Comment,Afternoon,Tablet
U0154,Education,Comment,Afternoon,Tablet
U0091,Food,Comment,Afternoon,Desktop
U0167,Food,Share,Afternoon,Desktop
U0289,Education,Comment,Morning,Tablet
U0282,Travel,Like,Morning,Tablet
U0409,Technology,Follow,Afternoon,Desktop
U0156,Food,Comment,Morning,Tablet
U0405,Technology,Follow,Afternoon,Desktop
U0274,Travel,Comment,Evening,Tablet
U0496,Education,Like,Afternoon,Tablet
U0128,Food,Like,Evening,Mobile
U0023,Travel,Follow,Evening,Desktop
U0051,Fitness,Like,Afternoon,Tablet
U0286,Education,Follow,Evening,Mobile
U0238,Education,Comment,Evening,Tablet
U0013,Technology,Like,Afternoon,Desktop
U0060,Fitness,Follow,Evening,Desktop
U0234,Education,Share,Morning,Desktop
U0050,Travel,Like,Afternoon,Desktop
U0415,Technology,Like,Evening,Mobile
U0347,Fitness,Comment,Morning,Tablet
U0170,Travel,Comment,Evening,Desktop
U0323,Fitness,Follow,Morning,Tablet
U0378,Fitness,Follow,Evening,Desktop
U0200,Fitness,Share,Morning,Mobile
U0415,Education,Comment,Morning,Mobile
U0101,Technology,Follow,Afternoon,Desktop
U0328,Education,Follow,Afternoon,Desktop
U0301,Food,Follow,Morning,Desktop
U0417,Food,Like,Evening,Tablet
U0161,Fitness,Comment,Morning,Desktop
U0192,Fitness,Follow,Evening,Tablet
U0071,Travel,Comment,Evening,Desktop
U0276,Fitness,Comment,Evening,Tablet
U0072,Food,Like,Morning,Desktop
U0249,Fitness,Follow,Morning,Desktop
U0210,Travel,Follow,Evening,Desktop
U0043,Technology,Like,Evening,Mobile
U0141,Education,Share,Morning,Desktop
U0235,Travel,Comment,Evening,Tablet
U0294,Food,Share,Morning,Tablet
U0388,Travel,Like,Morning,Tablet
U0218,Fitness,Like,Morning,Desktop
U0231,Food,Like,Afternoon,Mobile
U0061,Fitness,Follow,Morning,Tablet
U0085,Fitness,Share,Evening,Mobile
U0273,Education,Comment,Afternoon,Tablet
U0361,Food,Like,Afternoon,Tablet
U0070,Technology,Comment,Afternoon,Desktop
U0068,Fitness,Follow,Morning,Tablet
U0251,Education,Share,Morning,Tablet
U0193,Technology,Like,Afternoon,Tablet
U0384,Food,Follow,Afternoon,Desktop
U0002,Technology,Follow,Evening,Tablet
U0358,Technology,Follow,Afternoon,Tablet
U0220,Travel,Share,Morning,Desktop
U0281,Fitness,Follow,Evening,Tablet
U0458,Technology,Like,Evening,Mobile
U0402,Technology,Comment,Afternoon,Mobile
U0226,Technology,Comment,Afternoon,Desktop
U0452,Food,Share,Evening,Mobile
U0048,Food,Like,Evening,Desktop
U0463,Fitness,Follow,Evening,Mobile
U0372,Fitness,Follow,Evening,Desktop
U0361,Technology,Like,Morning,Mobile
U0068,Fitness,Follow,Evening,Tablet
U0357,Technology,Comment,Afternoon,Desktop
U0118,Technology,Like,Afternoon,Tablet
U0189,Fitness,Comment,Afternoon,Desktop
U0347,Technology,Like,Morning,Tablet
U0085,Food,Comment,Afternoon,Tablet
U0078,Education,Like,Afternoon,Tablet
U0460,Fitness,Follow,Morning,Mobile
U0220,Fitness,Share,Afternoon,Mobile
U0128,Education,Share,Evening,Tablet
U0354,Food,Like,Morning,Mobile
U0261,Travel,Like,Morning,Desktop
U0407,Travel,Like,Morning,Desktop
U0327,Technology,Share,Evening,Tablet
U0068,Education,Follow,Afternoon,Desktop
U0350,Travel,Like,Morning,Mobile
U0008,Fitness,Follow,Afternoon,Mobile
U0260,Education,Follow,Afternoon,Desktop
U0206,Education,Comment,Morning,Tablet
U0159,Education,Comment,Morning,Mobile
U0201,Technology,Follow,Evening,Desktop
U0434,Technology,Like,Morning,Mobile
U0223,Travel,Like,Morning,Tablet
U0159,Fitness,Like,Evening,Mobile
U0360,Fitness,Share,Morning,Desktop
U0086,Fitness,Like,Afternoon,Tablet
U0138,Technology,Like,Evening,Mobile
U0220,Education,Share,Afternoon,Mobile
U0296,Technology,Follow,Evening,Desktop
U0029,Education,Share,Afternoon,Mobile
U0396,Education,Like,Morning,Tablet
U0261,Technology,Like,Morning,Mobile
U0242,Travel,Like,Afternoon,Mobile
U0284,Travel,Share,Evening,Mobile
U0469,Food,Like,Evening,Desktop
U0062,Technology,Like,Evening,Mobile
U0265,Travel,Share,Morning,Mobile
U0168,Education,Share,Morning,Desktop
U0103,Education,Follow,Afternoon,Desktop
U0125,Food,Comment,Afternoon,Tablet
U0376,Fitness,Like,Evening,Mobile
U0120,Food,Like,Evening,Tablet
U0389,Travel,Comment,Evening,Tablet
U0054,Education,Follow,Morning,Mobile
U0031,Food,Like,Morning,Mobile
U0119,Travel,Follow,Evening,Tablet
U0499,Technology,Like,Evening,Tablet
U0327,Technology,Like,Afternoon,Tablet
U0494,Fitness,Comment,Morning,Desktop
U0162,Food,Follow,Afternoon,Desktop
U0039,Fitness,Like,Morning,Tablet
U0085,Travel,Follow,Afternoon,Desktop
U0184,Travel,Follow,Morning,Desktop
U0062,Fitness,Like,Morning,Tablet
U0111,Fitness,Follow,Afternoon,Mobile
U0263,Food,Comment,Morning,Desktop
U0208,Education,Comment,Afternoon,Tablet
U0053,Technology,Like,Morning,Mobile
U0400,Fitness,Follow,Morning,Mobile
U0323,Technology,Like,Evening,Tablet
U0012,Fitness,Like,Morning,Tablet
U0464,Technology,Like,Afternoon,Mobile
U0087,Travel,Comment,Evening,Tablet
U0016,Travel,Share,Afternoon,Mobile
U0096,Food,Comment,Afternoon,Desktop
U0318,Fitness,Share,Evening,Tablet
U0452,Travel,Like,Evening,Mobile
U0071,Fitness,Comment,Afternoon,Tablet
U0323,Technology,Share,Evening,Desktop
U0401,Food,Share,Afternoon,Tablet
U0093,Food,Comment,Morning,Tablet
U0416,Technology,Share,Afternoon,Desktop
U0120,Technology,Like,Morning,Mobile
U0137,Technology,Like,Evening,Mobile
U0409,Food,Like,Afternoon,Mobile
U0304,Food,Like,Afternoon,Tablet
U0181,Education,Follow,Evening,Mobile
U0278,Fitness,Like,Afternoon,Desktop
U0120,Fitness,Follow,Evening,Mobile
U0470,Fitness,Share,Evening,Mobile
U0471,Technology,Share,Afternoon,Mobile
U0361,Technology,Share,Morning,Tablet
U0361,Travel,Comment,Evening,Tablet
U0155,Fitness,Follow,Afternoon,Mobile
U0492,Food,Like,Afternoon,Mobile
U0288,Education,Share,Evening,Desktop
U0302,Travel,Share,Morning,Desktop
U0374,Education,Like,Morning,Desktop
U0094,Food,Comment,Evening,Tablet
U0054,Fitness,Like,Afternoon,Desktop
U0164,Technology,Share,Morning,Tablet
