Card_id,Header,Review,Location,shop
5624f9d10000ff0009124709,terrible,"Was given a three hour window of delivery, waited in. Delivery driver knocked on door but waited less than 30 seconds before leaving so I did not get to the door in time. Was informed that delivery could subsequently not be made until the following Monday, but I explained we were going away and asked for them to arrange for it to be redelivered the same day (as I first contacted them within half an hour of the attempted delivery the driver should have still been relatively nearby). They said they had contacted the delivery company (hermes) who refused to redeliver before Monday. They (Zalando) told me they had made a decision without asking me,  to instruct Hermes to return to sender and claimed they had refunded the item. I wrote to explain to them I had in the interim time postponed - at great inconvenience and some expense - our trip to be able to be in on the Monday. I had no reply. Tried again, no reply. I decided as the original order was going to be returned to sender to simply reorder the item as we now would not be going away until Thursday - after I had done this I was informed directly by Hermes that the original order was now out for delivery totally contradicting what Zalando had told me - as we were no longer expecting any delivery on the Monday I had not stayed in and subsequently missed the delivery. I wrote to Zalando to ask what was going on and for them to rectify the situation - I asked them to make sure that the reordered item get to me by Thursday having already been put through an awful lot of incnvenience, messing about and stress as well as expense. The lack of care, responsibility or organisation is staggering. I presently am now in the situation of having two of the item in question on order and having postponed a trip and do not have any way of knowing if or when either of the orders will come as Zalando have stopped replying to my emails. I have never been messed about by any company in such a way. It is ridiculous.",Britain (UK),Zalando
60305432f85d7509d8dead54,Ordered 2 items from Boozt,"Ordered 2 items from Boozt, arrived quickly and everything was well packed and just like on the website. 5 stars to this site, one of the items was on discount 50%. In the future I will definitely buy again from this online store. Thanks !",Croatia,Boozt
60ad3613f9f4870b700e2547,Beware of Wish,I  am a long time shopper of online shopping.Wish was my worst shopping experience online. They put me through hell for them SENDING me the wrong size and the same kind of 2 dresses. I was put through so many questions about their mistake. I will never buy from them again. They tried their best not to refund me my money. I would give a zero if I could.,United States,Wish
60b02792f9f4870a94af3bb5,The products are cheap and are not of…,"The products are cheap and are not of good quality. Descriptions of the products on their site are not accurate and they are phrased to seem better than the products are, VERY MISLEADING.  PURE JUNK!!!!  Not worth the money!!!",United States,Wish
5ade315c6d33bc032092e77f,I placed an order with zolando for…shoes for a wedding,I placed an order with Zalando.co.uk  for shoes for my sons wedding the service I received was fantastic I will definitely order from them again many thanks ps..super quick at answering my emails as well,Britain (UK),Zalando
5cb5df2fa843690a7cc5b3c4,Unsatisfactory,Ordered for the first time. They put a hold on the cost of the order but never actually placed the order. I then had an email from them saying that the items I thought I had purchased were still in my shopping basket. I nearly paid for them again except that I checked my bank account and saw that the money had been taken. It was returned 3 working days later. When I contacted them to ask about all this they told me it was standard e-commerce practise however I order online a lot and have not had this experience with any other retailer. I found the experience to be frustrating and misleading. I will not order again (even though I really did want the dress),Ireland,Zalando
60702e59f85d75087051de8c,A terrific resource for nearly anything,"I have used WISH several times for a vast variety of products such as clothing, equipment, tools, home cleaning supplies and PPE items. I love it.",United States,Wish
5f50f75e02e85708c8df081a,So far I have had no issues with SHEIN I…,So far I have had no issues with SHEIN I received all my items and the quality and sizing has been amazing. I live in the uk 🇬🇧 and I have had no issues with deliveries. Hopefully this carries on has I am a big shopper with them now .,Britain (UK),Sheinside
545d544f0000640002b24bb5,Excellent sevice and stylish clothes,"I am known as a very shopaholic woman but due to lack of time I cannot go out shopping very often. I came to know about Sheinisde through one of my friends and since then shopping has become very easy. I love the collection at Sheinside and one very attractive feature is they offer you a great discount without compromising on the quality. Which is great for people who love to save a few bucks. The skirt i bought is exactly like the image shown, Great skirt, The delivery was on time, even early. The products are high quality and the customer service is very helpful.  This online store has great designs and brands along with a very unique  style. This site is highly recommended for people with a different sort of fashion sense. Excellent shopping experience.",United States,Sheinside
5f993ba75e693f06f8737b4e,"Excellent quality pieces, good service, timely delivery","My order arrived on time, consisted on the item I purcahsed that are of high quality. As usual! Boozt never dissapoints me!",Estonia,Boozt
6032cc30f85d750b989c5ec2,Do not order from Shein,"Do not order from Shein.  They take your money and you never get the product.  No email, no notice, nothing.  It is a scam.",United States,Sheinside
6062fbb8f85d7508703d7a56,Love wish l like the service they…,Love wish l like the service they provide to Thier customersalways keeping us informed our deliveryitems good quality considering the process glad lJioned others to buy items from them,Britain (UK),Wish
605cafcef85d75087034932b,Love wish bits got everything!,-1,United States,Wish
60a2d953f9f4870a94a53a02,SCAM!!!! WARNING!!!DO NOT SHOP HERE,"The couple of items that I actually did receive were complete garbage. Totally stretched out, I ordered a large it fit like a 2x. Another item I ordered 3 of the same shirt all the same size, large, one fit like a small one fit like a 2x and one was not even the same item. Then my order states that one of the items was cancelled, but I did not cancel it and was charged. Three other items I never received but was charged for all of them. They shipped half my items to another address and then I got charged a re-stocking fee because I never picked them up, but I have no idea where they even were. I contacted my credit card company to dispute the items, and Wish said I received everything which is untrue. WARNING DO NOT SHOP HERE!!! IT IS A SCAM!!!!!!",United States,Wish
604ed444f85d75064c41826d,Safe and good,"Shipping times are decent, I always order from shein and my stuff comes within 1-2 weeks.  The quality depends that is why I usually read reviews and look at photos but overall shein is a safe website and reliable.",United States,Sheinside
606a9c9ff85d750870484c83,They have it all,I love wish. I have ordered many items and have had all good experiences thus far.,United States,Wish
60a7ec3df9f4870a94a9693d,Placed a few orders with this lot,"Placed a few orders with this lot. I found that most of the items were cheap tat, depending on what your buying. Took about a month to arrive on most of the orders. Packaging was very substandard and app is not that good either cannot get any answers or the information given is not correct. Probably best avoid wish.",Britain (UK),Wish
60420846f85d75064c382dd1,Dorothy,Very high quality and beautiful workmanship. Perfect size and fits perfectly on the body.  I recommend highly,Ireland,Boozt
58cb9fb2ed30e309d4be3522,Fantastic!,Zalando.co.uk is the best online shopping experience I have had. Everything about the website is so customer friendly. I will continue to shop with them.,Britain (UK),Zalando
5fd898f5755dc107e0c39d4d,excellent,"i love this website, very nice customer experience and i get the orders immediattelly.",Slovenia,Boozt
605ccde5f85d75087034e3f0,Most time I receive my items early or…,"Most time I receive my items early or on that day. I have had only on late item but, other than that I love the app.",United States,Wish
60a9c1f0f9f4870a94aa67a3,I would order it again,It was like I expected it to be,United States,Wish
5fc917075e693f060476bddb,5 Stars because they deserve it,"First of all, I did not even know that boozt.com exist. I found it on Google accidentally when I was searching for a specific parka. When I checked for the first time the site I thought that it is items are not genuine because the prices were a bit lower than the competition. But guess what. Their items are 100% genuine. I have just received my parka and its 100% original. The price was great but the most important was the delivery. The parcel took exactly 1 week from Denmark to Greece during Black Friday week. When they called me from the courier to receive my package I was shocked because I have order so many things during this week and none of them have arrived from mainland. Not a foreign country like Denmark! I highly recommend boozt.com and will definetely buy from them again in the future.",Greece,Boozt
58e659bed744950408c26a10,Great company free delivery and returns …,"Great company free delivery and returns, quick response to any queries. Have used them several times will certainly order from them in future.",Netherlands,Zalando
53fc8eb50000640002a151dc,Fabulous time ten,"I liked some of the featured jeans so decided to give this site a try. I am always wary about trying new sites and was pleasantly surprised. The jeans and blouses are really really good quality and the price was fantastic. Order was delivered quickly and accurately. The selection was diverse enough that a 8 yr. old boy, teen, and adult mom could all find everything they want/need so you are not going from one site to another and picking up packages at 4 different times. Going back later looking for a dress for a specific occasion after giving up on the mall options I was happily surprised again by finding not just one that looked great but two. Excellent site, easy to order from, quick delivery, and great selection make this a goto place for me.",United States,Sheinside
60ac37c0f9f4870b700d4ebe,Love the wide variety of items you can…,Love the wide variety of items you can order. Sometimes orders take a long time but mostly your item comes on time. Very happy with my orders so far and would recommend wish to anyone who loves a good bargain. Thanks Wish.,New Zealand,Wish
60a4e897f9f4870b70081564,Boozt it is nice shop and they are…,"Boozt it is nice shop and they are serious, and fast transport. Thanks for everything.",Norway,Boozt
5c90e84197afa10eb4ea146e,I really enjoy shopping on Zalando…,I really enjoy shopping on Zalando website. If people complain about delivery this is down to Hermes and they are rubbish.,Britain (UK),Zalando
5df0e981c84545096040a594,Zalando returns system failures,"Zalando is usually pretty efficient, but their current returns system is completely broken. They have admitted their returns system in the warehouse is overloaded. Two of my parcels have gone missing, and you have to wait 2 weeks after you have returned your parcel before they will even investigate your lost return. You then have to complete a form to get a refund.This is just not acceptable when compared to other online retailers and I will really think hard before ordering from them again.",Britain (UK),Zalando
578ff3dc0000ff000972b1f3,Waiting and waiting!! Fed up!!,Placed my first order on the 5th of July.it is now the 20th and I have not received my items!! Yes they were affordable but if I have to wait this long I will not be buying from them again .,Britain (UK),Sheinside
59f321f331302a0ef48fe094,Easy to buy from and great …,Easy to buy from and great communication i will buy from here again,Britain (UK),Zalando
60762698f85d7508705ae764,Good stuff,Good stuff...I will continue  to shop wish,United States,Wish
60b68168f9f4870a94b3345e,Do not buy anything from Wish,Do not buy anything from Wish. They say you can cancel your order. That is BS. Their customer service is poor. You cannot talk to an agent. They also make it very difficult to change your email and phone # in your settings.,Canada,Wish
5f854664798e6f07705c7595,Yes!!!,Delivery was perfect. The fit of the dress was amazing. I am definately shopping on Boozt again.,Belgium,Boozt
59c4d64731302a03bc8bfd66,Everything about the site was really …,Everything about the site was really great. Ordering  delivery etc all brilliant. I had to return the item but that was down to my size and shape. No fault of the site. Would order again.,Britain (UK),Zalando
605fb13af85d750870393ee7,Wish,"I like using Wish, while it does take a long time to get your order China to Canada it is not anything unexpected. For the most part the products are good for the price but you do get the odd dud but wish is quick to rectify the problem.",Canada,Wish
60ae64fff9f4870a94adc44e,"FRAUDULENT ACTIVITIES, COUNTERFEIT ITEMS, NO CUSTOMER SERVICE","I placed a few orders on the same day and chose to have them shipped to a business in the city where I live to save shipping fees  The website stated that I would be notified once they arrived.  I expected that the business would call to let me know that my order was there.  According to their website, on April 14th my order was in transit  On April 28th I got a message from WISH that stated on April 24th my order was shipped back to them because I missed the 14 days to pick it up.  Explain how my order was in transit and then 10 days later returned to them. How did I miss the 14 days? This is a scam!  They do not return all your money because they claim there is a restocking fee.  If my order had truly arrived at the store then the order tracking on the WISH website should have been updated to say it arrived!  If it did arrive, then why was I not called to say that my order was ready to be picked up? Of course there is no customer service, it is just an automated system.  The website states that if you have additional problems to contact your credit card company!  Last year I ordered some Bose headphones, it was obvious when they arrived that they were counterfeit.  I gave them another chance, which was my mistake.  Getting counterfeit products should have told me what their business practices were.  WISH is basically stealing money from customers in many ways!  My advise is to STAY AWAY FROM THIS COMPANY!",Canada,Wish
5ffc5deb755dc1032c1275a9,As I have already said,"As I have already said, a very reliable site with a lot of nice things to buy! Always up to date!",Greece,Boozt
5ff09b74755dc107e0d52e84,shein is a good website,"shein is a good website. I see people complaining orders are not coming PAY SHIPPING GUARANTEE! I have not payed shipping guarantee once, I did get the order it just took forever(about a month/month and a half) the shoes, clothes and everything has been great i love it!",Britain (UK),Sheinside
5bab66828c83fd06e0c4a652,I had a question and I wrote to their…,"I had a question and I wrote to their costumer services. They answered me very quickly and helped me. Nelly made everything very easy for me, and I will definitely shop there again.  Ellen at their costumer service was very serviceminded.",Sweden,Nelly
60c5ca4df9f4870bbc53d7a1,DO NOT BUY FROM THIS COMPANY THEY ARE A…,DO NOT BUY FROM THIS COMPANY THEY ARE A SCAM THAT ADVERTISES PRODUCTS BUT SEND. HEAP CRAP,Britain (UK),Wish
57aad7780000ff00097a1740,Awful Shipping process,"It is been 10 days Since placing my order and it is still ""processing"", not even shipped! Even the items saying ship in 24 hours are still processing. It is ridiculous. No point ordering for a holiday or event because it will not arrive in time. Anytime I ask where my order is they keep saying hope you understand, hope you understand. Very frustrating. Would not order again.",Britain (UK),Sheinside
60e1ec19f9f487075038d2ff,I have read some negative reviews and…,"I have read some negative reviews and compared to my experience they seemed opposite to what I feel about zalando. I ordered 2 pairs of trousers for my son, 1 was great and to this day its the best trousers he ever had, the other one was a bit too big although i am going to it looked great and nice quality but my son said NO , so I send it away to get a refund. After a month after sending I did not get the money so I called and was told that the parcel never arrived though they have the confirmetion it was sent. So  I was issued with the refund straight away (next day in my account) so even with such a hold up once I explained the situation there was no problem. So in my opinion their customer service deserves a credit and the trousers quality was really great. I would honestly recommend them and just to add I have dealt with some really dodgy companies like LUXPLUS=thieves.",Britain (UK),Zalando
606a7d9bf85d7508704841b6,Great.......shipped accurately great…,Great.......shipped accurately great product great company,United States,Wish
6087c5f0f9f48701fc7ea30e,Do not ever use Wish,"Do not ever use Wish! They charged 214.00 on my husbands debit card for something he never ordered, when notified immediately, they say it is to late to cancel when it was not ordered in the first place and then say we have to wait for the products to get to our house to go through the process of a refund which could take weeks! There is no phone customer service at all, it is all online and the biggest joke out there! Stay away from Wish!",United States,Wish
606b46e1f85d750870496776,Shipping Sucks,the product that I ordered I needed by a certain date and paid the shipping to receive by the date it came 4 days late and they do not want to work with me I WILL NOT BE BACK ON THIS SITE,United States,Wish
5eb28e2b25e5d209b8e33c75,Ladies DO NOT BUY WIGS FROM THIS PLACE…,Ladies DO NOT BUY WIGS FROM THIS PLACE THEY HAD ON THEY WEBSITE PICTURE OF THE LACE WIGS.lies and  garage they said they wigs do not she would they lie i order 3 lace front wigs  and receive plastic cap wigs I email never respond what kind business they running NELLYHAIR IN CALIFORNIA CHINO. LADIES BE WARNING this place share this with you are friends n family OMG THEY WILL GO AROUND  and  AROUND WITH YOU ABOUT YOU ARE MONEY THEY CALL THEYSELF GIVE A REFUND OF $13.00 DOLLAR REALLY THEY LOST THEY MIND I PAID $53.93 FOR LACE WIGS I GOT PLASTICS You All LOOK YOU ALL THEY PICTURES ON THE WEBSITE DO NOT LOOK.LIKE THESE WIGS I GOT DO NOT BUY ANYTHING FROM THEM YOU BE SORRY!!!!!!,United States,Nelly
54caf76b0000ff0002c8c46c,Love shopping on this site,"I ordered the white long sleeve plaid knit cardigan, I was very pleased with how easy it was to checkout and how quickly it arrived. It was helpful to have so many pictures of the cardigan I truly got a feel for what the fabric was like.  I am very happy with this purchase and the price was amazing.",United States,Sheinside
604a5324f85d75039427b269,Fantastic service,"Fantastic service. Superquick delivery, high quality products and fast refund processing time. The best webshop ever!! Thank you, Boozt.com!!!",Sweden,Boozt
54c9b96d0000ff0002c87b01,"Huge variety, beautiful products","I was very impressed with the wide variety of women's clothes and accessories. Sheinside is full of gorgeous clothes with amazing discounts. This website is one of my favorite websites that I have visited to purchase women's clothing. They offer TONS of sales and discounts. I will definitely purchase from here again. The gold diamond chain necklace was on sale 2 dollars off for $8.60. This is a very reasonable price in my opinion. I was also impressed with all of the other necklaces that the website offered. It was very difficult to choose between the wide variety of items. Ordering, shipping, and delivering was no problem. They cover standard shipping costs which is wonderful. There were no issues at all with the item. It is a beautiful Necklace! Overall, I had a very great experience with Sheinside. I received a discount, no shipping issues, and a beautiful necklace. I highly recommend this website and specifically this necklace to everyone. Thank you!",United States,Sheinside
5ef47a4b7dd75306b8cd1f49,Zalando it is not a problem it is the Hermes courier,"Zalando it is not a probleme, it is the courier!! They have been very nice to me and they try to give me a refund, the courier it is saying that the order was delivered and signed by me but f***... I was at work at that time and nobody at home! Hermes it is the most annoying and awful courier ever!!! The coustumer service from Zalando was very nice and try to solve out this mess for me!",Britain (UK),Zalando
5f9da0d85e693f06f8768dc3,Reliable online shop,Always on time. Good quality products. Value for money and prices usually good.,Croatia,Boozt
5956a395dacd1d069c961c6d,I love shopping with Zalando,"I love shopping with Zalando . Customer service is great,delivery fast,returns are easy and free.",Britain (UK),Zalando
6083a5fdf9f487093ccd16b8,Fast delivery,Fast delivery. Trustworthy online shop. I am always sure that everything will be professional.,Slovenia,Boozt
5faafa055e693f0a84238f85,Great clothing range for men,"Great clothing range for men, women and children, cannot beat shopping at Boozt 👍",Britain (UK),Boozt
5f2d3c591a5a690788a3c800,They did not ship two items and messed up the order.,Extremely unprofessional company. They are messing up orders during covid and asking you to lodge complaint with the police. Two of my items were not delivered to me and they do not want to take any onus for it. I am better off with Brand Alley. Will never ever shop with them.,Britain (UK),Zalando
606ee767f85d7508704f8ac9,Great app offering a variety of items…,-1,Britain (UK),Wish
60cce983f9f48706707a272d,Terrible cheap do not buy from wish,"Ordered shark red hoodie cheap and nasty fabric, red colour is awful and size does not fit. Very disappointed as present for my daughter. Battling with wish for refund. I DONOT Recommend WISH to anyone",Britain (UK),Wish
5431a2220000640002aa4ae5,Excellent website and customer service!,"When I first came across Nelly.com. I was a bit sceptical, as I live in UK and they are based in Sweden. But it is been well over a year and I have bought several items per month. No problems, one return issue which was my fault not theirs. But they solved it for me in record time. My favourite website!! A huge selection of ladies wear, cannot fault them.",Britain (UK),Nelly
60746108f85d75087057b25d,I can honestly say wish is my one and…,I can honestly say wish is my one and only place for shopping! FOR ANYTHING AND EVERYTHING!!! Yes that does include toilet paper! ;),United States,Wish
5c9c5af2a843690a3014dbcb,Cannot fault this company a few months…,Cannot fault this company a few months ago I needed to return an item that was faulty the customer service dept was so quick to act and resolve I nearly fell over it was painless and non stressful very highly recommended for products too and professional customer service thank you,Britain (UK),Zalando
5d3b904bf01869069cc3da91,Baught a pair of shoes from this site,"Baught a pair of shoes from this site, came wrong number, tried to send them back and the label printed for return was wrong, called them to send another return label, wrong again, third time called them to ask for a return label and they forgot to send the mail! Useless site, practically no customer help or support, never recommend this site",Britain (UK),Zalando
60257a6a679d97052cd4e8bd,Boozt is a great site for online shopping,"Good website, speedy delivery, I would definitely recommend.",Estonia,Boozt
60a3c2d2f9f4870a94a5dc54,Extremely poor customer service,"Extremely poor customer service.  They sent me two of the same item and would not refund me without me paying to return the item they sent out by error.  Do not get tempted to buy things from these guys and also check your PayPal account as they have a sneaky little small print that allows them to take money out of your account as a subscription. Due to this PayPal did not even resolve my issue, because I had unknowingly agreed to them taking money anytime they wanted.",Britain (UK),Wish
607a9e47f85d750658c7d889,Recommend!,"Fast shipping, good quality!",Estonia,Boozt
5a5c9f7b6116dd0f1077d4bd,Cool stuff,"I have been a Zalando customer for a while, owerall 5* , products always as advertised! Definetly buying more :)",Britain (UK),Zalando
5568c2d50000ff0002e9a9d5,Dishonest!,"So I placed my order on the 19th, and did not realize that it would take 5-7 days to process which sucked, however I checked back and on the 22nd i received an email saying that my order has shipped and I would paid for expedited shipping. So I was relieved because I have an event on the 4th and was ready to rave about the website. However it is been 7 days and I have been unable to track my order until today where it says it is been received I guess at a post office. In China. Correct me if wrong but I do not believe it took 7 days for a Chinese business to get a package to a Chinese post office. There is no way my package was shipped on the 22nd as claimed and no way that I will have it within the 6-8 days I paid EXTRA for. I DO NOT advise you ordering if you want anything in a timely matter and it is hard to even find the information to contact customer service. Worst online buying experience I have had",United States,Sheinside
60a80505f9f4870b700ad0d9,Wish is my go to place for cardmaking…,Wish is my go to place for cardmaking dies other unique craft supplies. As good as more expensive name brands and such a variety.,United States,Wish
60674442f85d75087044cb7c,Love love love wish everything Iv…,"Love love love wish everything Iv ordered which is a lot was great I have never had to send anything back , arrives earlier than expected  and  that is a great bonus and everything is great value so you get lots for your money . Will definitely be shopping again.",Britain (UK),Wish
5fdbb4d8755dc10b48267bae,it has been 23 days now and i have…,it has been 23 days now and i have still not recived my parcel and contacted their costumer service and they said i have to wait 8-18 days but it is past that NEVER going to order from them again. And it says its in dublin mail centre and its in transit but when i put my tracking number it say's its not here.,Ireland,Sheinside
601bfb5b679d970358f80484,Wish i had read the  reviews first,"Wish i had read the  reviews before ordering. Same issue as most other people. Ordered something, it has not arrived, they will not offer a refund as apparently its on its was but the shipping company have not received it. The price of the product as dropped since i ordered it and they will not even offer a refund. Take your money elsewhere do not bother with Zalando.",Britain (UK),Zalando
555c84780000ff0002e71858,Great experience!,"Entering this website, it has such a luxurious and fun look... The front page really excited me! I was very impressed with the discounts like the 30% off my first purchase and free delivery for orders over $50. I bought the Contrast PU Leather Double Lapel Coat, and they look exactly the same as to the picture as advertised on the website. The material is real and I am extremely impressed with the service as I received for my product. I recommend on everyone taking my word for the experience I have had. Just give it a try! I really recommend on you trying it.",United States,Sheinside
60b7c946f9f4870a94b44175,Excellent shop,Excellent shop! Fast delivery.,Hungary,Boozt
606be233f85d7508704a0668,Quality items,I love Wish!!! Everything I have ordered has been quality items and so affordable . Got my husband hooked also.,United States,Wish
60791082f85d7508705fc2e0,love the website,It has everything you can ever think of. Umm make sure you write the description for product very well. Things are smaller than it is period everything . But the derive is good and fast .,Canada,Wish
557143ce0000ff0002eb6d15,Easy shopping experience with fantastic selection!,I found Sheinside not too long ago and I just have to say that I am glad I did. This online shop makes it so easy for me to look fantastic with accessories and fashion. I love their selection and their selective style so much I had to tell all my friends about it. The shipping is fast and overall I have had nothing but great experiences with them.,United States,Sheinside
60d3034ff9f4870470dfb163,I have had the need to contact customer…,I have had the need to contact customer service regarding returning items.  Extremely friendly and efficient service that makes you feel wanting to do more business in the future. Highly recommended.,Iceland,Boozt
5f414b7b02e85708c8d69c66,Scammed,"paid, without ever getting my shoes i paid for. Told the customer service, they did not help. Ended up with paying money for nothing and no refund",Norway,Zalando
5c9269ef97afa10aa0fb7977,Excellent customer service,"Customer service for me is so important when buying online. Have spoken with Eve and Agatha and both were so helpful, polite and friendly!! I highly recommend Zalando!!",Britain (UK),Zalando
60aa60bcf9f4870a94aab8b4,Love wish,Wish is a great inexpensive online shopping sight !!!,United States,Wish
