ID,Task number,Treatment,Task time (s),Accuracy (%),Avg fixation time (ms),Time on distraction (s),Age
13,5,Distraction,739,80,222,149,18
13,6,Distraction,727,89,221,104,18
13,7,Distraction,756,93,217,99,18
13,8,Distraction,754,87,212,141,18
13,9,Distraction,739,90,211,134,18
13,10,Distraction,743,86,207,140,18
14,1,Distraction,727,83,222,131,19
14,2,Distraction,777,85,235,95,19
14,3,Distraction,821,90,216,98,19
14,4,Distraction,797,81,206,129,19
14,5,Distraction,693,90,220,104,19
14,6,Distraction,754,82,215,101,19
14,7,Distraction,725,82,195,149,19
14,8,Distraction,771,84,211,148,19
14,9,Distraction,757,86,213,130,19
14,10,Distraction,734,85,228,124,19
15,1,Distraction,737,87,226,122,20
15,2,Distraction,726,90,228,95,20
15,3,Distraction,773,85,229,112,20
15,4,Distraction,699,95,201,123,20
15,5,Distraction,769,80,244,138,20
15,6,Distraction,732,82,235,146,20
15,7,Distraction,770,84,226,135,20
15,8,Distraction,765,88,225,101,20
15,9,Distraction,770,79,217,125,20
15,10,Distraction,768,82,239,133,20
16,1,Distraction,694,83,220,104,21
16,2,Distraction,800,84,228,123,21
16,3,Distraction,757,89,205,98,21
16,4,Distraction,784,88,232,122,21
16,5,Distraction,755,86,215,105,21
16,6,Distraction,725,93,224,143,21
16,7,Distraction,781,82,217,138,21
16,8,Distraction,721,83,214,133,21
16,9,Distraction,776,92,224,105,21
16,10,Distraction,806,80,215,145,21
17,1,Distraction,738,78,228,145,19
17,2,Distraction,705,89,211,126,19
17,3,Distraction,786,88,214,95,19
17,4,Distraction,744,82,215,101,19
17,5,Distraction,736,90,209,126,19
17,6,Distraction,728,92,213,102,19
17,7,Distraction,764,92,218,142,19
17,8,Distraction,722,85,228,119,19
17,9,Distraction,755,89,225,100,19
17,10,Distraction,704,81,229,103,19
18,1,Distraction,719,88,212,150,19
18,2,Distraction,745,98,221,94,19
18,3,Distraction,727,88,219,101,19
18,4,Distraction,755,85,215,124,19
18,5,Distraction,792,72,199,124,19
18,6,Distraction,713,83,216,142,19
18,7,Distraction,746,88,228,115,19
18,8,Distraction,710,90,233,92,19
18,9,Distraction,729,81,221,101,19
18,10,Distraction,746,79,227,96,19
19,1,Distraction,750,85,203,95,21
19,2,Distraction,723,92,228,141,21
19,3,Distraction,791,90,222,110,21
19,4,Distraction,772,83,231,92,21
19,5,Distraction,736,90,214,142,21
19,6,Distraction,788,83,223,124,21
19,7,Distraction,749,87,219,121,21
19,8,Distraction,710,89,231,114,21
19,9,Distraction,769,79,210,144,21
19,10,Distraction,743,91,232,139,21
20,1,Distraction,756,80,224,129,21
20,2,Distraction,699,83,225,91,21
20,3,Distraction,758,90,237,101,21
20,4,Distraction,780,84,228,113,21
20,5,Distraction,731,85,225,95,21
20,6,Distraction,728,78,226,113,21
20,7,Distraction,722,78,210,124,21
20,8,Distraction,782,95,217,146,21
20,9,Distraction,724,89,214,120,21
20,10,Distraction,754,77,230,136,21
21,1,No Distraction,688,83,223,0,18
21,2,No Distraction,702,84,228,0,18
21,3,No Distraction,745,86,212,0,18
21,4,No Distraction,769,91,220,0,18
21,5,No Distraction,740,92,210,0,18
21,6,No Distraction,720,89,216,0,18
21,7,No Distraction,713,88,208,0,18
21,8,No Distraction,723,83,231,0,18
21,9,No Distraction,702,87,203,0,18
21,10,No Distraction,735,87,202,0,18
22,1,No Distraction,748,88,206,0,18
22,2,No Distraction,742,82,214,0,18
22,3,No Distraction,694,93,208,0,18
22,4,No Distraction,723,90,195,0,18
22,5,No Distraction,704,92,217,0,18
22,6,No Distraction,727,83,215,0,18
22,7,No Distraction,738,88,220,0,18
22,8,No Distraction,703,86,190,0,18
22,9,No Distraction,743,89,197,0,18
22,10,No Distraction,676,85,216,0,18
23,1,No Distraction,673,87,214,0,20
23,2,No Distraction,739,82,215,0,20
23,3,No Distraction,714,84,205,0,20
23,4,No Distraction,740,89,210,0,20
23,5,No Distraction,726,92,209,0,20
23,6,No Distraction,721,93,207,0,20
23,7,No Distraction,735,86,207,0,20
23,8,No Distraction,717,90,220,0,20
23,9,No Distraction,722,82,215,0,20
23,10,No Distraction,781,88,196,0,20
24,1,No Distraction,699,90,206,0,19
24,2,No Distraction,736,89,198,0,19
24,3,No Distraction,759,95,205,0,19
24,4,No Distraction,710,89,213,0,19
24,5,No Distraction,736,96,209,0,19
24,6,No Distraction,700,82,204,0,19
24,7,No Distraction,719,95,206,0,19
24,8,No Distraction,726,88,220,0,19
24,9,No Distraction,783,86,206,0,19
24,10,No Distraction,746,91,225,0,19
25,1,No Distraction,724,95,207,0,18
25,2,No Distraction,734,87,208,0,18
25,3,No Distraction,691,85,203,0,18
25,4,No Distraction,735,92,209,0,18
25,5,No Distraction,726,87,204,0,18
25,6,No Distraction,742,91,195,0,18
25,7,No Distraction,713,84,207,0,18
25,8,No Distraction,703,88,207,0,18
25,9,No Distraction,711,92,214,0,18
25,10,No Distraction,702,86,214,0,18
26,1,No Distraction,715,86,207,0,21
26,2,No Distraction,724,81,218,0,21
26,3,No Distraction,708,89,213,0,21
26,4,No Distraction,707,87,194,0,21
26,5,No Distraction,738,92,196,0,21
26,6,No Distraction,710,83,209,0,21
26,7,No Distraction,736,92,219,0,21
26,8,No Distraction,753,87,201,0,21
26,9,No Distraction,717,91,200,0,21
26,10,No Distraction,762,92,208,0,21
27,1,No Distraction,700,91,213,0,20
27,2,No Distraction,737,83,231,0,20
27,3,No Distraction,690,89,209,0,20
27,4,No Distraction,690,87,210,0,20
27,5,No Distraction,704,92,209,0,20
27,6,No Distraction,686,82,215,0,20
27,7,No Distraction,683,89,214,0,20
27,8,No Distraction,695,92,196,0,20
27,9,No Distraction,727,88,209,0,20
27,10,No Distraction,691,84,223,0,20
28,1,No Distraction,680,91,216,0,20
28,2,No Distraction,731,84,210,0,20
28,3,No Distraction,720,83,222,0,20
28,4,No Distraction,742,87,210,0,20
28,5,No Distraction,725,80,208,0,20
28,6,No Distraction,703,84,208,0,20
28,7,No Distraction,765,91,205,0,20
28,8,No Distraction,734,94,217,0,20
28,9,No Distraction,721,85,216,0,20
28,10,No Distraction,730,92,215,0,20
29,1,No Distraction,712,98,215,0,19
29,2,No Distraction,769,93,214,0,19
29,3,No Distraction,706,88,208,0,19
29,4,No Distraction,690,91,223,0,19
29,5,No Distraction,713,97,198,0,19
29,6,No Distraction,746,95,208,0,19
29,7,No Distraction,715,92,214,0,19
29,8,No Distraction,670,85,210,0,19
29,9,No Distraction,686,86,199,0,19
29,10,No Distraction,711,87,213,0,19
30,1,No Distraction,743,91,195,0,18
30,2,No Distraction,697,82,226,0,18
30,3,No Distraction,717,95,197,0,18
30,4,No Distraction,706,91,211,0,18
30,5,No Distraction,733,83,221,0,18
30,6,No Distraction,739,90,205,0,18
30,7,No Distraction,728,87,197,0,18
30,8,No Distraction,719,87,218,0,18
30,9,No Distraction,664,89,201,0,18
30,10,No Distraction,728,89,209,0,18
31,1,No Distraction,763,94,199,0,19
31,2,No Distraction,706,90,208,0,19
31,3,No Distraction,672,85,226,0,19
31,4,No Distraction,705,87,201,0,19
31,5,No Distraction,735,88,204,0,19
31,6,No Distraction,687,94,197,0,19
31,7,No Distraction,733,79,216,0,19
31,8,No Distraction,744,92,209,0,19
31,9,No Distraction,760,97,207,0,19
31,10,No Distraction,709,89,206,0,19
32,1,No Distraction,738,88,211,0,20
32,2,No Distraction,670,92,213,0,20
32,3,No Distraction,745,76,227,0,20
32,4,No Distraction,717,92,202,0,20
32,5,No Distraction,735,84,205,0,20
32,6,No Distraction,768,87,212,0,20
32,7,No Distraction,742,90,211,0,20
32,8,No Distraction,729,98,210,0,20
32,9,No Distraction,725,92,219,0,20
32,10,No Distraction,750,91,201,0,20
33,1,No Distraction,741,95,202,0,18
33,2,No Distraction,709,82,217,0,18
33,3,No Distraction,712,89,205,0,18
33,4,No Distraction,712,93,216,0,18
33,5,No Distraction,717,91,216,0,18
33,6,No Distraction,710,82,203,0,18
33,7,No Distraction,686,93,221,0,18
33,8,No Distraction,760,80,219,0,18
33,9,No Distraction,775,92,193,0,18
33,10,No Distraction,764,88,208,0,18
34,1,No Distraction,747,94,192,0,21
34,2,No Distraction,703,88,219,0,21
34,3,No Distraction,709,88,201,0,21
34,4,No Distraction,682,94,195,0,21
34,5,No Distraction,778,91,215,0,21
34,6,No Distraction,734,87,213,0,21
34,7,No Distraction,715,90,210,0,21
34,8,No Distraction,696,85,202,0,21
34,9,No Distraction,744,86,195,0,21
34,10,No Distraction,730,94,216,0,21
35,1,No Distraction,694,88,213,0,18
35,2,No Distraction,730,86,203,0,18
35,3,No Distraction,706,90,209,0,18
35,4,No Distraction,740,90,192,0,18
35,5,No Distraction,726,97,221,0,18
35,6,No Distraction,731,84,214,0,18
35,7,No Distraction,738,87,213,0,18
35,8,No Distraction,758,85,202,0,18
35,9,No Distraction,737,90,218,0,18
35,10,No Distraction,734,86,213,0,18
36,1,No Distraction,690,89,215,0,20
36,2,No Distraction,730,87,209,0,20
36,3,No Distraction,721,87,218,0,20
36,4,No Distraction,775,86,199,0,20
36,5,No Distraction,718,98,204,0,20
36,6,No Distraction,761,95,206,0,20
36,7,No Distraction,734,95,207,0,20
36,8,No Distraction,715,86,202,0,20
36,9,No Distraction,704,83,210,0,20
36,10,No Distraction,701,89,198,0,20
37,1,No Distraction,762,91,208,0,19
37,2,No Distraction,682,82,199,0,19
37,3,No Distraction,720,88,217,0,19
37,4,No Distraction,675,93,216,0,19
37,5,No Distraction,712,83,220,0,19
37,6,No Distraction,712,88,213,0,19
37,7,No Distraction,697,87,217,0,19
37,8,No Distraction,739,91,201,0,19
37,9,No Distraction,714,86,213,0,19
37,10,No Distraction,728,89,230,0,19
38,1,No Distraction,693,84,204,0,21
38,2,No Distraction,714,88,216,0,21
38,3,No Distraction,699,82,227,0,21
38,4,No Distraction,692,91,210,0,21
38,5,No Distraction,726,88,207,0,21
38,6,No Distraction,732,86,219,0,21
38,7,No Distraction,734,90,206,0,21
38,8,No Distraction,714,83,207,0,21
38,9,No Distraction,694,93,210,0,21
38,10,No Distraction,724,87,212,0,21
39,1,No Distraction,743,82,206,0,19
39,2,No Distraction,743,85,213,0,19
39,3,No Distraction,744,74,209,0,19
39,4,No Distraction,718,86,212,0,19
39,5,No Distraction,736,89,207,0,19
39,6,No Distraction,736,88,208,0,19
39,7,No Distraction,687,82,199,0,19
39,8,No Distraction,727,88,198,0,19
39,9,No Distraction,736,93,205,0,19
39,10,No Distraction,676,85,217,0,19
40,1,No Distraction,710,89,211,0,20
40,2,No Distraction,720,90,220,0,20
40,3,No Distraction,744,82,190,0,20
40,4,No Distraction,743,83,208,0,20
40,5,No Distraction,691,81,214,0,20
40,6,No Distraction,739,86,189,0,20
40,7,No Distraction,706,90,198,0,20
40,8,No Distraction,725,88,215,0,20
40,9,No Distraction,723,84,220,0,20
40,10,No Distraction,716,88,203,0,20
